"prior_samples","past_leakage","T1_level_percent","T1_percent","T2_percent","optimal_samples"
10000,1,94,0.037028469,0.4,671.0380928
10000,2,94,0.0529711,0.4,698.4602259
10000,3,94,0.067684216,0.4,732.5772958
10000,4,94,0.081710495,0.4,771.9523533
10000,5,94,0.095283092,0.4,816.7871548
10000,6,94,0.108527313,0.4,867.1528133
10000,7,94,0.121519645,0.4,924.4326592
10000,8,94,0.134310829,0.4,987.9895248
10000,9,94,0.146936563,0.4,1060.42959
10000,10,94,0.159423087,0.4,1141.984095
10000,11,94,0.171790362,0.4,1234.550022
10000,12,94,0.184053987,0.4,1339.646825
10000,13,94,0.19622643,0.4,1459.908969
10000,14,94,0.20831784,0.4,1597.456452
10000,15,94,0.220336613,0.4,1756.509591
10000,16,94,0.232289785,0.4,1940.582705
10000,17,94,0.244183325,0.4,2155.011495
10000,18,94,0.256022347,0.4,2408.187726
10000,19,94,0.267811271,0.4,2708.517509
10000,20,94,0.279553951,0.4,3066.782831
10000,21,94,0.291253769,0.4,3502.705001
10000,22,94,0.302913716,0.4,4039.851933
10000,23,94,0.314536447,0.4,4710.377462
10000,24,94,0.326124335,0.4,5573.879103
10000,25,94,0.337679511,0.4,6695.100681
10000,26,94,0.349203898,0.4,8231.397166
10000,27,94,0.360699235,0.4,10425.58046
10000,28,94,0.372167105,0.4,158.0857993
10000,29,94,0.383608951,0.4,155.4782628
10000,0,94,0.017684917,0.5,692.6929722
10000,1,94,0.037028469,0.5,527.9311987
10000,2,94,0.0529711,0.5,540.0835032
10000,3,94,0.067684216,0.5,557.7840713
10000,4,94,0.081710495,0.5,579.0841826
10000,5,94,0.095283092,0.5,601.6451603
10000,6,94,0.108527313,0.5,627.8952207
10000,7,94,0.121519645,0.5,656.2733739
10000,8,94,0.134310829,0.5,688.3119375
10000,9,94,0.146936563,0.5,723.4254764
10000,10,94,0.159423087,0.5,762.1922749
10000,11,94,0.171790362,0.5,805.9107148
10000,12,94,0.184053987,0.5,852.3546876
10000,13,94,0.19622643,0.5,904.6635896
10000,14,94,0.20831784,0.5,962.6951754
10000,15,94,0.220336613,0.5,1027.216353
10000,16,94,0.232289785,0.5,1098.135248
10000,17,94,0.244183325,0.5,1177.800976
10000,18,94,0.256022347,0.5,1267.166727
10000,19,94,0.267811271,0.5,1366.616771
10000,20,94,0.279553951,0.5,1478.846692
10000,21,94,0.291253769,0.5,1605.864746
10000,22,94,0.302913716,0.5,1754.389109
10000,23,94,0.314536447,0.5,1914.427656
10000,24,94,0.326124335,0.5,2102.999248
10000,25,94,0.337679511,0.5,2321.151619
10000,26,94,0.349203898,0.5,2571.43874
10000,27,94,0.360699235,0.5,2867.125101
10000,28,94,0.372167105,0.5,3215.485358
10000,29,94,0.383608951,0.5,3630.764918
10000,30,94,0.395026093,0.5,4130.964993
10000,0,94,0.017684917,0.6,474.5770267
10000,1,94,0.037028469,0.6,440.9200746
10000,2,94,0.0529711,0.6,440.8031688
10000,3,94,0.067684216,0.6,449.8349445
10000,4,94,0.081710495,0.6,462.4438496
10000,5,94,0.095283092,0.6,476.3695983
